,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
346,Letlhakane,BW,-21.4167,25.5833,72.77,52,39,10.45,scattered clouds
347,Monastyryshche,UA,48.9909,29.8047,50.11,85,83,6.02,broken clouds
348,Port Shepstone,ZA,-30.7414,30.455,70.61,81,46,8.43,scattered clouds
349,Dikson,RU,73.5069,80.5464,27.14,74,100,18.37,overcast clouds
350,Nantucket,US,41.2835,-70.0995,64.54,98,20,6.91,few clouds
351,Olden,NO,61.8364,6.8064,44.11,93,100,6.51,overcast clouds
352,Mandalgovi,MN,45.7625,106.2708,34.66,54,100,25.48,overcast clouds
353,Sale,MA,34.0389,-6.8166,78.64,25,62,11.5,broken clouds
354,Pokoynoye,RU,44.8097,44.2517,53.76,66,97,11.63,overcast clouds
355,Namatanai,PG,-3.6667,152.4333,85.41,68,60,6.13,broken clouds
356,Suhbaatar,MN,50.2314,106.2078,37.78,33,82,5.32,broken clouds
357,San Cristobal,VE,7.7669,-72.225,73.58,90,98,1.68,overcast clouds
358,Atasu,KZ,48.6814,71.6433,39.36,24,7,7.25,clear sky
359,Itarema,BR,-2.9248,-39.9167,78.35,79,8,14.85,clear sky
360,Cayenne,GF,4.9333,-52.3333,78.84,89,0,0.0,clear sky
361,Souillac,MU,-20.5167,57.5167,77.38,65,40,11.5,scattered clouds
362,Sola,VU,-13.8833,167.55,83.07,79,4,0.0,clear sky
363,Kochi,IN,9.9399,76.2602,85.98,70,96,2.71,overcast clouds
364,Vysokogornyy,RU,50.1167,139.15,38.61,42,2,12.77,clear sky
365,Cuiluan,CN,47.72,128.648,49.5,27,13,9.8,few clouds
366,Honningsvag,NO,70.9821,25.9704,38.95,70,75,9.22,broken clouds
367,Qasigiannguit,GL,68.8193,-51.1922,28.62,98,100,4.29,light snow
368,Ilhabela,BR,-23.7781,-45.3581,68.72,90,89,3.74,overcast clouds
369,Ogulin,HR,45.2661,15.2286,52.61,86,87,2.86,overcast clouds
370,Isla Mujeres,MX,21.2311,-86.731,80.17,76,42,13.69,scattered clouds
371,Pokhara,NP,28.2333,83.9833,71.67,53,0,5.59,clear sky
372,Ukiah,US,39.1502,-123.2078,59.65,84,0,0.0,clear sky
373,Conil,FR,44.9673,3.7177,43.99,82,75,4.12,broken clouds
374,Matara,LK,5.9485,80.5353,84.69,66,66,8.79,broken clouds
375,Corvallis,US,44.5646,-123.262,51.08,76,0,4.61,clear sky
376,San Patricio,US,28.017,-97.5169,80.49,85,6,18.84,clear sky
377,Te Anau,NZ,-45.4167,167.7167,60.44,35,1,2.24,clear sky
378,Zaysan,KZ,47.4667,84.8667,39.11,45,28,4.56,scattered clouds
379,Erenhot,CN,43.6475,111.9767,62.62,18,56,15.52,broken clouds
380,Vossevangen,NO,60.623,6.4229,49.53,94,100,3.44,overcast clouds
381,Fortuna,US,40.5982,-124.1573,56.93,81,100,3.8,overcast clouds
382,Stulovo,RU,58.7225,50.1439,32.11,94,98,6.87,overcast clouds
383,Dryden,CA,49.7833,-92.7503,43.09,75,100,16.11,overcast clouds
384,Muzhi,RU,65.3667,64.6667,27.25,92,100,9.4,light snow
385,Cap Malheureux,MU,-19.9842,57.6142,77.47,61,2,8.99,clear sky
386,Constitucion,CL,-35.3333,-72.4167,51.24,92,100,6.29,overcast clouds
387,Sayyan,YE,15.1718,44.3244,59.2,30,5,4.97,clear sky
388,Touros,BR,-5.1989,-35.4608,78.13,75,14,14.52,few clouds
389,Vila Velha,BR,-20.3297,-40.2925,71.55,94,20,0.0,few clouds
390,Gizo,SB,-8.103,156.8419,85.15,65,54,5.91,broken clouds
391,Gouyave,GD,12.1646,-61.7296,79.57,89,20,0.0,few clouds
392,Kruisfontein,ZA,-34.0033,24.7314,63.43,91,96,11.77,overcast clouds
393,Floriano,BR,-6.7669,-43.0225,78.13,66,53,2.26,broken clouds
394,Tessalit,ML,20.1986,1.0114,71.82,23,57,11.05,broken clouds
395,Itaituba,BR,-4.2761,-55.9836,75.85,89,100,1.28,overcast clouds
396,Tilichiki,RU,60.4667,166.1,17.69,82,100,7.14,overcast clouds
397,Noumea,NC,-22.2763,166.4572,84.18,76,95,11.14,overcast clouds
398,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,75,71,14.61,broken clouds
399,Tulun,RU,54.5611,100.5792,37.04,37,23,8.66,few clouds
400,Dong Hoi,VN,17.4833,106.6,77.4,90,100,4.74,heavy intensity rain
401,Mount Isa,AU,-20.7333,139.5,96.57,24,75,9.22,broken clouds
402,Alghero,IT,40.5589,8.3181,68.09,73,48,6.91,scattered clouds
403,Moroto,UG,2.5345,34.6666,71.44,59,27,6.93,scattered clouds
404,Rio Grande,BR,-32.035,-52.0986,59.59,88,0,8.12,clear sky
405,Cislau,RO,45.25,26.3667,48.96,58,98,2.64,overcast clouds
406,Booue,GA,-0.0921,11.9385,71.98,100,100,1.05,moderate rain
407,Nkhata Bay,MW,-11.6066,34.2907,80.17,52,62,5.59,broken clouds
408,Vincennes,FR,48.85,2.4333,57.92,92,100,5.75,overcast clouds
409,Lumphat,KH,13.4878,106.9816,85.48,73,85,1.63,overcast clouds
410,Lewiston,US,44.1003,-70.2148,57.92,97,100,3.44,overcast clouds
411,Yar-Sale,RU,66.8333,70.8333,21.88,93,60,8.21,broken clouds
412,Belaya Gora,RU,68.5333,146.4167,9.84,82,100,2.17,overcast clouds
413,Pyaozerskiy,RU,65.8333,31.1667,30.25,87,64,4.09,broken clouds
414,Westerlo,BE,51.0905,4.9154,57.2,90,40,5.75,scattered clouds
415,Lavrentiya,RU,65.5833,-171.0,24.39,73,6,2.84,clear sky
416,Soligalich,RU,59.0778,42.2864,34.25,78,94,6.29,overcast clouds
417,Tasiilaq,GL,65.6145,-37.6368,29.77,96,100,13.13,snow
418,Hualmay,PE,-11.0964,-77.6139,61.07,85,65,10.31,broken clouds
419,Kazuno,JP,40.1836,140.7872,52.84,81,100,5.55,overcast clouds
420,Nacogdoches,US,31.6002,-94.6335,75.06,85,100,16.11,overcast clouds
421,Pangnirtung,CA,66.1451,-65.7125,11.19,77,4,10.92,clear sky
422,Gari,RU,59.4307,62.3497,32.41,72,69,10.8,broken clouds
423,Mildura,AU,-34.2,142.15,73.08,70,92,15.95,overcast clouds
424,Joshimath,IN,30.5667,79.5667,65.91,30,0,6.91,clear sky
425,Mookane,BW,-23.688,26.6595,70.66,60,23,9.13,few clouds
426,Myitkyina,MM,25.3833,97.4,67.75,99,100,1.34,overcast clouds
427,Kawalu,ID,-7.3817,108.2082,79.61,80,100,5.68,overcast clouds
428,Raga,SS,8.4596,25.678,69.84,68,37,2.39,scattered clouds
429,Asau,RO,46.4333,26.4,45.52,81,100,5.53,overcast clouds
430,Meihekou,CN,42.5272,125.6753,53.46,37,0,12.1,clear sky
431,Port Pirie,AU,-33.1833,138.0167,68.65,53,29,9.17,scattered clouds
432,Luis Correia,BR,-2.8792,-41.6669,78.17,83,21,13.78,few clouds
433,Onega,RU,63.9061,38.1404,33.22,89,100,3.27,overcast clouds
434,Caravelas,BR,-17.7125,-39.2481,71.74,94,100,6.76,overcast clouds
435,Cherskiy,RU,68.75,161.3,-1.37,90,35,8.28,scattered clouds
436,Ondangwa,NA,-17.9167,15.95,79.63,21,80,8.81,broken clouds
437,Puerto Ayacucho,VE,5.6639,-67.6236,73.2,91,100,1.97,overcast clouds
438,Kotka,FI,60.4664,26.9458,27.66,70,84,12.59,broken clouds
439,Luganville,VU,-15.5333,167.1667,78.75,84,72,4.9,broken clouds
440,Rio Cauto,CU,20.5603,-76.9161,71.08,91,4,4.94,clear sky
441,Kropotkin,RU,45.4375,40.5756,51.91,78,99,5.7,overcast clouds
442,Taphan Hin,TH,16.2209,100.4198,87.62,64,75,0.92,broken clouds
443,Kurilsk,RU,45.2333,147.8833,43.63,51,82,10.51,broken clouds
444,Manakara,MG,-22.1333,48.0167,76.51,69,23,10.31,few clouds
445,Punta Alta,AR,-38.8759,-62.0736,61.32,81,68,2.17,broken clouds
446,Mezhdurechensk,RU,53.6942,88.0603,37.72,54,16,2.66,few clouds
447,Jiuquan,CN,39.7432,98.5174,55.13,27,0,6.42,clear sky
448,Fort-Shevchenko,KZ,44.5086,50.263,55.9,71,95,28.86,light rain
449,General Roca,AR,-39.0333,-67.5833,63.36,27,24,7.36,few clouds
450,Hamilton,US,39.1834,-84.5333,66.22,51,75,10.36,broken clouds
451,Chama,CH,47.1821,8.4636,54.28,92,75,2.3,moderate rain
452,Sambava,MG,-14.2667,50.1667,76.57,62,3,5.1,clear sky
453,Flinders,AU,-34.5833,150.8552,78.19,81,62,4.0,heavy intensity rain
454,Esso,RU,55.9333,158.7,20.88,94,56,6.22,light snow
455,Oriximina,BR,-1.7656,-55.8661,80.35,67,78,2.37,broken clouds
456,Pangody,RU,65.85,74.4859,27.43,94,100,7.25,overcast clouds
457,Victor Harbor,AU,-35.5667,138.6167,62.67,86,99,1.99,overcast clouds
458,Farmington,US,36.7281,-108.2187,39.88,49,0,18.41,clear sky
459,Haimen,CN,23.1935,116.6142,78.69,56,89,22.66,overcast clouds
460,Nelson Bay,AU,-32.7167,152.15,75.09,82,62,11.01,light rain
461,Mackay,AU,-21.15,149.2,90.68,84,27,21.72,scattered clouds
462,Gavle,SE,60.6745,17.1417,47.34,98,100,3.0,light rain
463,Banda Aceh,ID,5.5577,95.3222,85.53,66,86,9.82,overcast clouds
464,Gushikawa,JP,26.3544,127.8686,76.59,53,40,13.8,scattered clouds
465,Ilebo,CD,-4.3167,20.5833,70.5,99,99,0.29,light rain
466,Palpa,PE,-14.5336,-75.1856,64.17,70,19,2.44,few clouds
467,Dongsheng,CN,39.8161,109.9776,59.77,45,20,18.92,few clouds
468,Hokitika,NZ,-42.7167,170.9667,51.1,89,100,4.63,overcast clouds
469,Vestmannaeyjar,IS,63.4427,-20.2734,43.41,85,100,10.98,overcast clouds
470,Shakiso,ET,5.75,38.9167,63.14,83,30,2.98,scattered clouds
471,Nioki,CD,-2.7167,17.6833,70.03,98,100,1.32,light rain
472,Tarauaca,BR,-8.1614,-70.7656,73.49,89,87,1.28,overcast clouds
473,Kralendijk,BQ,12.15,-68.2667,78.78,94,93,4.61,overcast clouds
474,Barinas,VE,8.6226,-70.2075,71.42,96,100,2.37,overcast clouds
475,Krasnyy Yar,RU,46.5331,48.3456,49.96,77,99,18.28,overcast clouds
476,Bilma,NE,18.6853,12.9164,70.34,19,0,14.56,clear sky
477,Kaitangata,NZ,-46.2817,169.8464,53.33,63,0,7.16,clear sky
478,Selizharovo,RU,56.8519,33.4487,30.47,81,75,4.16,broken clouds
479,Melo,UY,-32.3667,-54.1833,52.3,97,2,5.57,clear sky
480,Kastamonu,TR,41.5,33.6667,43.65,87,0,1.03,clear sky
481,Carutapera,BR,-1.195,-46.02,78.1,78,76,7.09,broken clouds
482,Anadyr,RU,64.75,177.4833,12.7,79,0,8.95,clear sky
483,Santa Maria,BR,-29.6842,-53.8069,55.49,97,70,6.82,broken clouds
484,Sicamous,CA,50.8331,-118.9856,41.97,99,100,1.74,overcast clouds
485,Santa Rosalia,MX,27.3167,-112.2833,68.59,48,0,8.01,clear sky
486,Tigil,RU,57.8,158.6667,25.83,91,70,2.89,broken clouds
487,Pajapita,GT,14.7167,-92.0333,80.47,91,46,3.27,scattered clouds
488,Woodward,US,36.4337,-99.3904,52.83,49,100,11.5,overcast clouds
489,Tigzirt,DZ,36.8886,4.1198,71.4,40,98,10.2,overcast clouds
490,Am Timan,TD,11.0297,20.2827,71.44,43,19,6.17,few clouds
491,Shetpe,KZ,44.1667,52.1167,52.23,77,77,21.43,broken clouds
492,Camalu,MX,30.85,-116.0667,63.72,55,0,4.09,clear sky
493,Koygorodok,RU,60.445,50.9968,32.04,82,99,7.94,overcast clouds
494,Batagay-Alyta,RU,67.8006,130.4114,21.2,66,100,15.41,overcast clouds
495,Chara,RU,56.9064,118.2631,27.36,49,3,4.97,clear sky
496,Vanavara,RU,60.34,102.2797,30.65,86,100,14.54,light snow
497,Grand Gaube,MU,-20.0064,57.6608,77.4,62,2,8.01,clear sky
498,Wum,CM,6.3833,10.0667,64.11,90,99,3.87,overcast clouds
499,Borger,NL,52.9233,6.7931,55.9,93,96,13.85,overcast clouds
500,Brae,GB,60.3964,-1.353,52.36,95,99,5.35,light rain
501,Middletown,US,39.5151,-84.3983,66.11,56,0,9.22,clear sky
502,Salalah,OM,17.0151,54.0924,81.21,51,6,1.07,clear sky
503,Santa Cruz,BO,-17.8,-63.1667,71.06,78,46,5.75,scattered clouds
504,Maldonado,UY,-34.6667,-54.9167,58.39,95,1,7.02,clear sky
505,Huarmey,PE,-10.0681,-78.1522,61.25,89,57,9.17,broken clouds
506,Kieta,PG,-6.2167,155.6333,82.92,77,26,1.81,light rain
507,Nome,US,64.5011,-165.4064,30.27,93,100,3.44,light snow
508,Varzea Da Palma,BR,-17.5981,-44.7308,70.02,74,92,1.5,overcast clouds
509,Port Blair,IN,11.6667,92.75,86.04,74,40,4.61,scattered clouds
510,Redmond,US,47.674,-122.1215,52.63,91,88,1.99,overcast clouds
511,Cabedelo,BR,-6.9811,-34.8339,77.67,77,5,11.65,clear sky
512,Karakulino,RU,56.012,53.7067,35.55,66,81,8.21,broken clouds
513,Forrest City,US,35.0081,-90.7898,71.46,56,62,18.01,broken clouds
514,Nisia Floresta,BR,-6.0911,-35.2086,79.61,86,16,8.37,few clouds
515,Dzhebariki-Khaya,RU,62.2167,135.8,27.32,86,100,11.1,overcast clouds
516,Vaitape,PF,-16.5167,-151.75,79.83,77,100,17.81,overcast clouds
517,Whitehorse,CA,60.7161,-135.0538,25.57,87,100,6.91,light snow
518,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.09,99,95,2.08,overcast clouds
519,Port Hardy,CA,50.6996,-127.4199,46.58,87,40,6.91,scattered clouds
520,Mbuji-Mayi,CD,-6.15,23.6,71.69,89,100,2.28,overcast clouds
521,Marawi,PH,7.9986,124.2928,75.13,89,90,5.5,overcast clouds
522,Linhares,BR,-19.3911,-40.0722,69.19,97,100,2.01,light rain
523,Dekar,BW,-21.5333,21.9333,79.79,33,93,7.47,overcast clouds
524,Henties Bay,NA,-22.116,14.2845,59.99,83,98,4.56,overcast clouds
525,Antalaha,MG,-14.9003,50.2788,76.87,61,38,2.8,scattered clouds
526,Evensk,RU,61.95,159.2333,19.6,93,100,5.88,overcast clouds
527,Talara,PE,-4.5772,-81.2719,64.54,81,52,13.65,broken clouds
528,Olafsvik,IS,64.8945,-23.7142,40.69,75,100,12.59,overcast clouds
529,Pointe Michel,DM,15.25,-61.3833,81.16,81,100,7.0,overcast clouds
530,Torbay,CA,47.6666,-52.7314,51.49,92,75,10.36,broken clouds
531,Avera,US,33.194,-82.5271,52.38,58,56,3.6,broken clouds
532,Marsa Matruh,EG,31.3525,27.2453,71.8,68,40,8.05,scattered clouds
533,Ashington,GB,50.9331,-0.3909,60.19,87,39,5.99,scattered clouds
534,Ziway,ET,7.9333,38.7167,67.41,61,44,8.84,scattered clouds
535,Bilibino,RU,68.0546,166.4372,-12.77,98,56,4.12,broken clouds
536,Eyl,SO,7.9803,49.8164,80.56,73,68,4.34,broken clouds
537,Kidal,ML,18.4411,1.4078,76.1,20,98,12.19,overcast clouds
538,Chuzhou,CN,32.3219,118.2978,71.85,26,63,15.57,broken clouds
539,Reporoa,NZ,-38.4333,176.35,61.41,55,100,5.7,overcast clouds
540,Demyansk,RU,57.643,32.466,31.42,77,80,4.7,broken clouds
541,Kahului,US,20.8947,-156.47,79.84,80,17,5.01,few clouds
542,Masallatah,LY,32.6167,14.0,68.95,46,0,3.49,clear sky
543,Wakkanai,JP,45.4094,141.6739,49.98,53,75,10.36,broken clouds
544,Smithers,CA,54.7804,-127.1743,39.52,70,100,3.44,overcast clouds
545,Salaga,GH,8.5508,-0.5188,75.6,77,64,3.53,broken clouds
546,Chifeng,CN,42.2683,118.9636,68.92,20,26,15.08,scattered clouds
547,Saldanha,ZA,-33.0117,17.9442,55.45,76,90,12.77,overcast clouds
548,Hirara,JP,24.8,125.2833,77.27,50,75,19.57,broken clouds
549,Kovdor,RU,67.5662,30.4758,27.14,95,29,3.18,scattered clouds
550,Busayra,JO,30.7376,35.6078,62.22,56,53,2.64,broken clouds
551,Vicksburg,US,32.3526,-90.8779,73.63,88,75,9.22,broken clouds
552,Duluth,US,46.7833,-92.1066,49.48,66,100,10.36,overcast clouds
553,Barcanesti,RO,44.8833,26.05,56.35,88,61,3.38,broken clouds
554,North Bend,US,43.4065,-124.2243,52.92,100,100,3.44,overcast clouds
555,Narasannapeta,IN,18.4167,84.05,83.89,60,32,4.36,scattered clouds
556,Takoradi,GH,4.8845,-1.7554,77.23,88,94,4.61,overcast clouds
557,Denpasar,ID,-8.65,115.2167,85.71,79,40,11.5,scattered clouds
558,Longyan,CN,25.1072,117.0225,81.73,25,90,4.25,overcast clouds
559,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,0,3.0,clear sky
560,Coquimbo,CL,-29.9533,-71.3436,53.33,93,100,2.3,overcast clouds
561,Bambous Virieux,MU,-20.3428,57.7575,77.25,65,40,11.5,scattered clouds
562,Rosarito,MX,32.3333,-117.0333,64.13,45,0,6.44,clear sky
563,Dzilam Gonzalez,MX,21.2833,-88.9333,73.17,94,61,5.61,broken clouds
564,Pirai Do Sul,BR,-24.5261,-49.9486,58.68,91,65,5.32,broken clouds
565,Devils Lake,US,48.1128,-98.8651,33.78,84,100,18.41,overcast clouds
566,Ulaangom,MN,49.9811,92.0667,33.49,37,0,4.03,clear sky
567,Upata,VE,8.0086,-62.3989,75.2,90,93,1.57,overcast clouds
568,Riyadh,SA,24.6877,46.7219,68.14,15,0,5.23,clear sky
569,Kaeo,NZ,-35.1,173.7833,61.32,82,75,10.4,broken clouds
570,Pecangakan,ID,-6.9302,109.1188,85.35,65,94,3.13,overcast clouds
571,Montepuez,MZ,-13.1256,38.9997,73.0,63,31,7.16,scattered clouds
572,Salinopolis,BR,-0.6136,-47.3561,79.32,76,90,10.76,overcast clouds
573,Champerico,GT,14.3,-91.9167,78.69,83,12,4.68,few clouds
574,Pandan,PH,14.0453,124.1694,83.08,85,96,11.16,overcast clouds
575,Grenfell,AU,-33.9,148.1667,67.46,77,27,11.72,light rain
576,Sibolga,ID,1.7427,98.7792,80.42,85,100,1.12,overcast clouds
577,Bondowoso,ID,-7.9135,113.8214,82.27,78,83,4.56,broken clouds
578,Kovur,IN,14.4833,79.9833,87.51,38,2,5.39,clear sky
579,Alexandria,EG,31.2156,29.9553,61.34,62,39,4.76,scattered clouds
580,Griffith,US,41.5284,-87.4237,70.05,53,0,13.8,clear sky
581,Stromness,GB,58.965,-3.296,52.88,87,90,8.01,overcast clouds
582,Omsukchan,RU,62.5333,155.8,7.25,97,65,8.66,broken clouds
583,Marovoay,MG,-16.1,46.6333,82.08,64,0,3.98,clear sky
584,Torit,SS,4.4133,32.5678,75.78,74,55,1.48,broken clouds
585,Neiafu,TO,-18.65,-173.9833,77.68,61,20,8.05,few clouds
586,Lahij,YE,13.1667,44.5833,78.71,54,8,7.94,clear sky
587,Heihe,CN,50.2441,127.4902,52.38,30,73,18.32,broken clouds
588,Guerrero Negro,MX,27.9769,-114.0611,68.88,36,0,1.34,clear sky
589,Makakilo City,US,21.3469,-158.0858,77.68,83,100,0.0,overcast clouds
590,Nemuro,JP,43.3236,145.575,47.01,51,94,13.15,overcast clouds
591,Rorvik,NO,64.8621,11.2373,42.91,81,0,6.91,clear sky
592,Virginia Beach,US,36.8529,-75.978,60.03,96,100,0.0,overcast clouds
593,Arkul,RU,57.2808,50.044,35.2,94,100,8.84,overcast clouds
594,Tacuarembo,UY,-31.7333,-55.9833,52.7,96,4,4.5,clear sky
595,Ozernovskiy,RU,51.5,156.5167,39.49,58,100,20.42,light rain
596,Motema,SL,8.6,-11.0333,68.79,98,98,1.97,overcast clouds
597,Gainsborough,GB,53.3833,-0.7667,51.98,87,0,4.61,clear sky
598,Batemans Bay,AU,-35.7167,150.1833,70.11,48,29,9.1,scattered clouds
599,Gympie,AU,-26.1898,152.665,80.06,64,55,3.02,broken clouds
600,Qiongshan,CN,20.0058,110.3542,82.38,65,75,20.13,broken clouds
601,Buraydah,SA,26.326,43.975,64.85,16,0,8.01,clear sky
602,Leeton,AU,-34.5667,146.4,67.91,71,30,15.41,scattered clouds
603,Biak,ID,-0.9131,122.8766,85.73,62,76,2.37,broken clouds
604,Tianpeng,CN,30.9866,103.9393,57.67,88,100,6.49,overcast clouds
605,Sembe,CG,1.6481,14.5806,69.66,99,100,1.19,moderate rain
606,Kangalassy,RU,62.3464,129.9628,31.93,78,91,14.79,overcast clouds
607,Iqaluit,CA,63.7506,-68.5145,20.93,68,100,4.61,light snow
608,Nizhnevartovsk,RU,60.9344,76.5531,33.82,69,0,15.99,clear sky
609,Barentu,ER,15.1139,37.5928,78.33,50,89,1.59,overcast clouds
610,Andrelandia,BR,-21.7397,-44.3092,59.85,97,36,3.71,scattered clouds
611,Morant Bay,JM,17.8815,-76.4093,82.02,81,5,4.36,clear sky
612,High Level,CA,58.5169,-117.136,28.51,100,100,8.05,overcast clouds
613,Serta,PT,39.8085,-8.0988,60.94,91,100,5.19,overcast clouds
614,Viesca,MX,25.35,-102.8,74.8,34,5,6.87,clear sky
615,Envira,BR,-7.3,-70.2167,73.33,91,74,2.48,broken clouds
616,Miraflores,MX,19.2167,-98.8083,67.03,85,45,2.08,scattered clouds
617,Turayf,SA,31.6725,38.6637,61.05,55,75,14.97,broken clouds
618,Fenoarivo,MG,-18.933,47.4354,66.27,88,75,6.91,broken clouds
619,Tres Arroyos,AR,-38.3739,-60.2798,65.68,56,96,14.9,light rain
620,Panguna,PG,-6.3164,155.4848,75.56,84,62,0.87,light rain
621,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,84.13,65,40,3.44,scattered clouds
622,Keuruu,FI,62.2667,24.7,28.58,91,85,4.45,overcast clouds
623,Nuuk,GL,64.1835,-51.7216,31.71,97,98,5.77,light snow
624,Tazovskiy,RU,67.4667,78.7,23.36,93,93,2.33,overcast clouds
625,Sumbe,AO,-11.2061,13.8437,75.16,89,70,6.31,broken clouds
626,Sabang,ID,5.8933,95.3214,82.45,75,78,12.03,broken clouds
627,Usogorsk,RU,63.4106,48.6872,27.84,92,34,6.29,scattered clouds
628,Khorixas,NA,-20.3667,14.9667,68.36,35,58,0.96,broken clouds
629,Dubbo,AU,-32.25,148.6167,73.53,56,100,13.8,overcast clouds
630,Jieshi,CN,22.8134,115.8257,75.06,56,98,23.62,overcast clouds
631,Petropavlovskoye,RU,52.0712,84.107,39.24,37,0,1.01,clear sky
632,Santa Cruz De Tenerife,ES,28.4682,-16.2546,73.45,84,20,8.05,few clouds
633,Chiusi,IT,43.016,11.9475,62.91,94,93,5.61,overcast clouds
634,Acajutla,SV,13.5928,-89.8275,78.37,84,42,4.54,scattered clouds
635,Koboko,UG,3.4136,30.9599,66.94,86,74,3.6,broken clouds
636,Sosnovo-Ozerskoye,RU,52.5249,111.5418,33.37,35,37,13.29,scattered clouds
637,Piacabucu,BR,-10.4056,-36.4344,75.22,86,9,10.13,clear sky
638,Ryotsu,JP,38.0833,138.4333,58.23,50,74,13.96,broken clouds
639,Xinzhi,CN,36.4989,111.7047,66.94,25,100,8.25,overcast clouds
640,Americus,US,32.0724,-84.2327,55.53,82,0,0.0,clear sky
641,Hue,VN,16.4667,107.6,77.11,94,75,2.3,mist
642,Nishihara,JP,26.1842,127.7558,76.28,47,40,19.57,scattered clouds
643,Gat,IL,31.61,34.7642,74.39,65,19,3.56,light rain
644,Kulhudhuffushi,MV,6.6221,73.07,81.72,78,98,11.5,light rain
645,Matamoros,MX,25.5333,-103.25,74.1,26,2,10.36,clear sky
646,Batagay,RU,67.6333,134.6333,23.5,65,100,16.96,overcast clouds
647,Banjarmasin,ID,-3.3244,114.591,87.94,88,100,4.45,overcast clouds
648,Kyotera,UG,-0.6156,31.5175,69.31,69,83,3.36,broken clouds
649,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,88,100,6.91,overcast clouds
650,Lasa,IT,46.6166,10.7002,48.36,96,100,2.93,overcast clouds
651,Saint-Georges,GD,12.0564,-61.7485,80.19,85,59,7.54,broken clouds
652,Shangzhi,CN,45.2167,127.9667,52.86,24,2,8.57,clear sky
653,Basqal,AZ,40.7552,48.391,49.01,62,41,2.37,scattered clouds
654,Usinsk,RU,65.9939,57.5281,25.34,96,72,5.91,light snow
655,Lompoc,US,34.6391,-120.4579,54.59,82,0,3.67,clear sky
656,Edgewater,US,28.9889,-80.9023,70.09,72,25,6.04,scattered clouds
657,Dawlatabad,AF,36.4141,64.9053,67.01,39,59,4.23,broken clouds
658,Boende,CD,-0.2167,20.8667,70.66,99,100,1.5,overcast clouds
659,Baruun-Urt,MN,46.6806,113.2792,43.59,50,99,11.83,overcast clouds
660,Cotacachi,EC,0.3,-78.2667,55.74,96,100,1.39,light rain
661,Santa Marinella,IT,42.0345,11.8536,68.49,94,73,13.58,broken clouds
662,Bemidji,US,47.4736,-94.8803,41.92,93,100,9.22,overcast clouds
663,Skelleftea,SE,64.7507,20.9528,36.0,100,100,4.61,light intensity drizzle
664,Kloulklubed,PW,7.0419,134.2556,86.5,81,100,23.2,overcast clouds
665,Patan,NP,27.6667,85.3333,70.18,64,20,2.3,few clouds
666,Awbari,LY,26.5921,12.7805,59.56,42,0,5.68,clear sky
667,Alibag,IN,18.6411,72.8792,86.07,56,0,3.02,clear sky
668,Winnemucca,US,40.973,-117.7357,48.36,33,100,7.25,overcast clouds
669,Phibun Mangsahan,TH,15.2447,105.2291,91.09,59,92,5.55,overcast clouds
670,Voyvozh,RU,62.892,54.9635,27.64,93,98,7.99,light snow
671,Kyabram,AU,-36.3167,145.05,69.53,75,55,8.72,moderate rain
672,Mbaiki,CF,3.8678,17.9892,69.84,97,100,0.87,overcast clouds
673,Fairhope,US,30.523,-87.9033,74.68,82,0,5.01,clear sky
674,San Juan,AR,-31.5375,-68.5364,74.73,25,2,3.76,clear sky
675,Kemijarvi,FI,66.7131,27.4306,27.84,77,88,3.27,overcast clouds
676,Zhenlai,CN,45.8495,123.2973,58.44,38,1,20.29,clear sky
677,Sept-Iles,CA,50.2001,-66.3821,45.82,90,26,3.83,scattered clouds
678,Bosaso,SO,11.2842,49.1816,82.08,57,5,4.81,clear sky
679,Cortes,ES,41.9395,-1.4396,61.88,61,100,6.24,overcast clouds
