,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
442,Taphan Hin,TH,87.62,broken clouds,16.2209,100.4198,Rommakham Homestay
444,Manakara,MG,76.51,few clouds,-22.1333,48.0167,La Residence Manakara
452,Sambava,MG,76.57,clear sky,-14.2667,50.1667,Melrose
453,Flinders,AU,78.19,heavy intensity rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
455,Oriximina,BR,80.35,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
459,Haimen,CN,78.69,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
460,Nelson Bay,AU,75.09,light rain,-32.7167,152.15,Mantra Nelson Bay
463,Banda Aceh,ID,85.53,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
464,Gushikawa,JP,76.59,scattered clouds,26.3544,127.8686,Kirari Guest House
465,Ilebo,CD,70.5,light rain,-4.3167,20.5833,Hôtel BUMAK
472,Tarauaca,BR,73.49,overcast clouds,-8.1614,-70.7656,Flat Temporada
473,Kralendijk,BQ,78.78,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
474,Barinas,VE,71.42,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
476,Bilma,NE,70.34,clear sky,18.6853,12.9164,Expeditions Ténére voyages
481,Carutapera,BR,78.1,broken clouds,-1.195,-46.02,Lidera
487,Pajapita,GT,80.47,scattered clouds,14.7167,-92.0333,Hotel posada de Don Jose
489,Tigzirt,DZ,71.4,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
490,Am Timan,TD,71.44,few clouds,11.0297,20.2827,Palais du chef Canton Salamt
497,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
502,Salalah,OM,81.21,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
503,Santa Cruz,BO,71.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
506,Kieta,PG,82.92,light rain,-6.2167,155.6333,Uruna Bay Retreat
508,Varzea Da Palma,BR,70.02,overcast clouds,-17.5981,-44.7308,Casa Fernandes
509,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
511,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Pousada Camboinha
513,Forrest City,US,71.46,broken clouds,35.0081,-90.7898,Hampton Inn Forrest City
514,Nisia Floresta,BR,79.61,few clouds,-6.0911,-35.2086,Rancho Crepusculo
516,Vaitape,PF,79.83,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
518,Santa Isabel Do Rio Negro,BR,73.09,overcast clouds,-0.4139,-65.0192,Hotel GSA
520,Mbuji-Mayi,CD,71.69,overcast clouds,-6.15,23.6,HOTEL METROPOLE DU KASAI
521,Marawi,PH,75.13,overcast clouds,7.9986,124.2928,Derogongan Residence
525,Antalaha,MG,76.87,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
529,Pointe Michel,DM,81.16,overcast clouds,15.25,-61.3833,Roseau Hostel & Beach Front Property
532,Marsa Matruh,EG,71.8,scattered clouds,31.3525,27.2453,Beau Site
536,Eyl,SO,80.56,broken clouds,7.9803,49.8164,EYL AQUE SYSTEM
538,Chuzhou,CN,71.85,broken clouds,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
541,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
545,Salaga,GH,75.6,broken clouds,8.5508,-0.5188,Bore Nada Guest House
548,Hirara,JP,77.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
551,Vicksburg,US,73.63,broken clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
555,Narasannapeta,IN,83.89,scattered clouds,18.4167,84.05,AVK events and catering
556,Takoradi,GH,77.23,overcast clouds,4.8845,-1.7554,Raybow International Hotel
557,Denpasar,ID,85.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
558,Longyan,CN,81.73,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
561,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
563,Dzilam Gonzalez,MX,73.17,broken clouds,21.2833,-88.9333,posadas
567,Upata,VE,75.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
570,Pecangakan,ID,85.35,overcast clouds,-6.9302,109.1188,Jalal House
571,Montepuez,MZ,73.0,scattered clouds,-13.1256,38.9997,PembaAparthotel
572,Salinopolis,BR,79.32,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
573,Champerico,GT,78.69,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
574,Pandan,PH,83.08,overcast clouds,14.0453,124.1694,Bonifacio Lodge
576,Sibolga,ID,80.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
577,Bondowoso,ID,82.27,broken clouds,-7.9135,113.8214,Anugerah Hotel Bondowoso
578,Kovur,IN,87.51,clear sky,14.4833,79.9833,Hotel Yesh Park
580,Griffith,US,70.05,clear sky,41.5284,-87.4237,Apartment above Depot Bar
583,Marovoay,MG,82.08,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
584,Torit,SS,75.78,broken clouds,4.4133,32.5678,Diplomat Guest House
585,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
589,Makakilo City,US,77.68,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
598,Batemans Bay,AU,70.11,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
599,Gympie,AU,80.06,broken clouds,-26.1898,152.665,Mary River Motor Inn
600,Qiongshan,CN,82.38,broken clouds,20.0058,110.3542,Sun City Restaurant
603,Biak,ID,85.73,broken clouds,-0.9131,122.8766,Penginapan Kim
611,Morant Bay,JM,82.02,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
614,Viesca,MX,74.8,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
621,Sitio Novo Do Tocantins,BR,84.13,scattered clouds,-5.5183,-47.4611,Imperial Hotel
625,Sumbe,AO,75.16,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
626,Sabang,ID,82.45,broken clouds,5.8933,95.3214,Hotel Citra
629,Dubbo,AU,73.53,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
630,Jieshi,CN,75.06,overcast clouds,22.8134,115.8257,Yuehai Hotel
632,Santa Cruz De Tenerife,ES,73.45,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
634,Acajutla,SV,78.37,scattered clouds,13.5928,-89.8275,CASA DE LA PERRA
637,Piacabucu,BR,75.22,clear sky,-10.4056,-36.4344,Piaçabuçu News
641,Hue,VN,77.11,mist,16.4667,107.6,Saigon Morin Hotel
642,Nishihara,JP,76.28,scattered clouds,26.1842,127.7558,Minshuku Agaihama
643,Gat,IL,74.39,light rain,31.61,34.7642,OlusHome
644,Kulhudhuffushi,MV,81.72,light rain,6.6221,73.07,Haajy Guest House 1
645,Matamoros,MX,74.1,clear sky,25.5333,-103.25,Quinta Belem
647,Banjarmasin,ID,87.94,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
649,Puerto Del Rosario,ES,71.35,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
651,Saint-Georges,GD,80.19,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
656,Edgewater,US,70.09,scattered clouds,28.9889,-80.9023,Islander Beach Resort
664,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
665,Patan,NP,70.18,few clouds,27.6667,85.3333,Hotel Himalaya
667,Alibag,IN,86.07,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
673,Fairhope,US,74.68,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
674,San Juan,AR,74.73,clear sky,-31.5375,-68.5364,Hotel Provincial
678,Bosaso,SO,82.08,clear sky,11.2842,49.1816,Red Sea Hotel
